date_key,full_date,year,month,month_name,day,day_of_week_num,day_name,is_weekend,quarter
185,2016-07-03 00:00:00+05:30,2016,7,July     ,3,0,Sunday   ,t,3
186,2016-07-04 00:00:00+05:30,2016,7,July     ,4,1,Monday   ,f,3
187,2016-07-05 00:00:00+05:30,2016,7,July     ,5,2,Tuesday  ,f,3
188,2016-07-06 00:00:00+05:30,2016,7,July     ,6,3,Wednesday,f,3
189,2016-07-07 00:00:00+05:30,2016,7,July     ,7,4,Thursday ,f,3
190,2016-07-08 00:00:00+05:30,2016,7,July     ,8,5,Friday   ,f,3
191,2016-07-09 00:00:00+05:30,2016,7,July     ,9,6,Saturday ,t,3
192,2016-07-10 00:00:00+05:30,2016,7,July     ,10,0,Sunday   ,t,3
193,2016-07-11 00:00:00+05:30,2016,7,July     ,11,1,Monday   ,f,3
194,2016-07-12 00:00:00+05:30,2016,7,July     ,12,2,Tuesday  ,f,3
195,2016-07-13 00:00:00+05:30,2016,7,July     ,13,3,Wednesday,f,3
196,2016-07-14 00:00:00+05:30,2016,7,July     ,14,4,Thursday ,f,3
197,2016-07-15 00:00:00+05:30,2016,7,July     ,15,5,Friday   ,f,3
198,2016-07-16 00:00:00+05:30,2016,7,July     ,16,6,Saturday ,t,3
199,2016-07-17 00:00:00+05:30,2016,7,July     ,17,0,Sunday   ,t,3
200,2016-07-18 00:00:00+05:30,2016,7,July     ,18,1,Monday   ,f,3
201,2016-07-19 00:00:00+05:30,2016,7,July     ,19,2,Tuesday  ,f,3
202,2016-07-20 00:00:00+05:30,2016,7,July     ,20,3,Wednesday,f,3
203,2016-07-21 00:00:00+05:30,2016,7,July     ,21,4,Thursday ,f,3
204,2016-07-22 00:00:00+05:30,2016,7,July     ,22,5,Friday   ,f,3
205,2016-07-23 00:00:00+05:30,2016,7,July     ,23,6,Saturday ,t,3
206,2016-07-24 00:00:00+05:30,2016,7,July     ,24,0,Sunday   ,t,3
207,2016-07-25 00:00:00+05:30,2016,7,July     ,25,1,Monday   ,f,3
208,2016-07-26 00:00:00+05:30,2016,7,July     ,26,2,Tuesday  ,f,3
209,2016-07-27 00:00:00+05:30,2016,7,July     ,27,3,Wednesday,f,3
210,2016-07-28 00:00:00+05:30,2016,7,July     ,28,4,Thursday ,f,3
211,2016-07-29 00:00:00+05:30,2016,7,July     ,29,5,Friday   ,f,3
212,2016-07-30 00:00:00+05:30,2016,7,July     ,30,6,Saturday ,t,3
213,2016-07-31 00:00:00+05:30,2016,7,July     ,31,0,Sunday   ,t,3
214,2016-08-01 00:00:00+05:30,2016,8,August   ,1,1,Monday   ,f,3
215,2016-08-02 00:00:00+05:30,2016,8,August   ,2,2,Tuesday  ,f,3
216,2016-08-03 00:00:00+05:30,2016,8,August   ,3,3,Wednesday,f,3
217,2016-08-04 00:00:00+05:30,2016,8,August   ,4,4,Thursday ,f,3
218,2016-08-05 00:00:00+05:30,2016,8,August   ,5,5,Friday   ,f,3
219,2016-08-06 00:00:00+05:30,2016,8,August   ,6,6,Saturday ,t,3
220,2016-08-07 00:00:00+05:30,2016,8,August   ,7,0,Sunday   ,t,3
221,2016-08-08 00:00:00+05:30,2016,8,August   ,8,1,Monday   ,f,3
222,2016-08-09 00:00:00+05:30,2016,8,August   ,9,2,Tuesday  ,f,3
223,2016-08-10 00:00:00+05:30,2016,8,August   ,10,3,Wednesday,f,3
224,2016-08-11 00:00:00+05:30,2016,8,August   ,11,4,Thursday ,f,3
225,2016-08-12 00:00:00+05:30,2016,8,August   ,12,5,Friday   ,f,3
226,2016-08-13 00:00:00+05:30,2016,8,August   ,13,6,Saturday ,t,3
227,2016-08-14 00:00:00+05:30,2016,8,August   ,14,0,Sunday   ,t,3
228,2016-08-15 00:00:00+05:30,2016,8,August   ,15,1,Monday   ,f,3
229,2016-08-16 00:00:00+05:30,2016,8,August   ,16,2,Tuesday  ,f,3
230,2016-08-17 00:00:00+05:30,2016,8,August   ,17,3,Wednesday,f,3
231,2016-08-18 00:00:00+05:30,2016,8,August   ,18,4,Thursday ,f,3
232,2016-08-19 00:00:00+05:30,2016,8,August   ,19,5,Friday   ,f,3
233,2016-08-20 00:00:00+05:30,2016,8,August   ,20,6,Saturday ,t,3
234,2016-08-21 00:00:00+05:30,2016,8,August   ,21,0,Sunday   ,t,3
235,2016-08-22 00:00:00+05:30,2016,8,August   ,22,1,Monday   ,f,3
236,2016-08-23 00:00:00+05:30,2016,8,August   ,23,2,Tuesday  ,f,3
237,2016-08-24 00:00:00+05:30,2016,8,August   ,24,3,Wednesday,f,3
238,2016-08-25 00:00:00+05:30,2016,8,August   ,25,4,Thursday ,f,3
239,2016-08-26 00:00:00+05:30,2016,8,August   ,26,5,Friday   ,f,3
240,2016-08-27 00:00:00+05:30,2016,8,August   ,27,6,Saturday ,t,3
241,2016-08-28 00:00:00+05:30,2016,8,August   ,28,0,Sunday   ,t,3
242,2016-08-29 00:00:00+05:30,2016,8,August   ,29,1,Monday   ,f,3
243,2016-08-30 00:00:00+05:30,2016,8,August   ,30,2,Tuesday  ,f,3
244,2016-08-31 00:00:00+05:30,2016,8,August   ,31,3,Wednesday,f,3
245,2016-09-01 00:00:00+05:30,2016,9,September,1,4,Thursday ,f,3
